tweet,rating,label
Her legges det rÃ¸d lÃ¸per for #Fortinet PartnerEvent Velkommen @palkva @TTmmernes @iveman7 @AudunRisberg http://t.co/dps73K8MMh,47,Negative
"@Fortinet Not going to lie I kind of nerded out seeing #Fortinet follow me on #Twitter, Lol. I have started to... http://t.co/1yEkUZ5LzB",100,Excited
"@Fortinet Not going to lie I kind of nerded out seeing #Fortinet follow me on #Twitter, Lol. I have started to... http://t.co/1yEkUZ5LzB",61,Excited
#fortinet should aquire alienvault,100,Negative
#fortinet should aquire alienvault,100,Angry
#PR FortiSandbox 2.0 od #Fortinet ochroni przez zaawansowanymi atakami #APT i #zeroday http://t.co/xNSWp7vdaX @Fortinet #sandbox #fortigate,98,Positive
"#Fortinet Director Hong Liang Lu Sells 25,000 Shares #FTNT - Intercooler http://t.co/gWRQTzLPd9",74,Positive
#Fortinet Consultant en #London. Info: http://t.co/ZlmBlmRsAi,92,Positive
"nog geen goede ervaringen met die FortiOs 5.2, ofwel boot mijn device niet meer, ofwel heb ik geen internet meer #fortinet",71,Angry
#Fortinet Consultant en #London. Info: http://t.co/ZlmBlmRsAi,67,Excited
"#Fortinet Director Hong Liang Lu Sells 25,000 Shares #FTNT - Intercooler http://t.co/gWRQTzLPd9",94,Positive
#Fortinet Consultant en #London. Info: http://t.co/ZlmBlmRsAi,100,Excited
#fortinet should aquire alienvault,100,Excited
#fortinet should aquire alienvault,100,Positive
#GodStemning pÃ¥ #Fortinet Partner Event i dag @TDrevvatne om #SDDC #Security @palkva @iveman7 @magbars @ojvelle http://t.co/g3CQn690qU,100,Angry
#Fortinet FortiSandbox Catches Zero-Day and Advanced Threats http://t.co/YKQizPm4Qw #security #fortinetsfortisandbox,96,Excited
#Fortinet FortiSandbox Catches Zero-Day and Advanced Threats http://t.co/YKQizPm4Qw #security #fortinetsfortisandbox,100,Excited
#Fortinet FortiSandbox Catches Zero-Day and Advanced Threats http://t.co/YKQizPm4Qw #security #fortinetsfortisandbox,56,Positive
"@Fortinet Not going to lie I kind of nerded out seeing #Fortinet follow me on #Twitter, Lol. I have started to... http://t.co/1yEkUZ5LzB",100,Negative
http://t.co/MyBI5nEtIz  #forticlient #fortinet #fortinetsslvpn #fortinetsslvpnclient #gbridge #hardware #installed #software #teamviewer,90,Positive
http://t.co/MyBI5nEtIz  #forticlient #fortinet #fortinetsslvpn #fortinetsslvpnclient #gbridge #hardware #installed #software #teamviewer,100,Positive
"@Fortinet Not going to lie I kind of nerded out seeing #Fortinet follow me on #Twitter, Lol. I have started to... http://t.co/1yEkUZ5LzB",100,Excited
"#Fortinet Director Hong Liang Lu Sells 25,000 Shares #FTNT - Intercooler http://t.co/gWRQTzLPd9",100,Positive
26022015 - 19.20. Launching produk #avaya #fortinet #dell dan #emerson untuk #partner #semarangâ€_ https://t.co/PkI5sJem7Z,100,Negative
#Fortinet #Fortigate 60D VPN to #Azure works very nice http://t.co/LSvPFXS6nZ,80,Positive
#FortiVoice by #Fortinet #Panama http://t.co/jHSRGKz88r,95,Positive
#Nutanix sponsored dinner tomorrow in Sydney with @josh_odgers and I. Let me know if you're keen to web scale with the best. Cc @carlonizeto,100,Excited
Microsoft Windows Server 2003 End of Support - Migration Solutions From #Nutanix http://t.co/ZSFI16ks2A,100,Negative
@josh_odgers @trailsfootmarks Sounds like a great day out! #nutanix,100,Excited
"@andreleibovici @Laura_Whalen @jtroyer Thanks Andre, we'll look into it cc @AngeloLuciani #Nutanix",94,Negative
"@andreleibovici @Laura_Whalen @jtroyer Thanks Andre, we'll look into it cc @AngeloLuciani #Nutanix",100,Negative
#Nutanix refreshes their NX-3000 Hardware Platform to Haswell.,95,Positive
#Nutanix refreshes their NX-3000 Hardware Platform to Haswell.,100,Positive
Join us in Miami June 8-10 for the #Nutanix .NEXT Conference #NextConf http://t.co/qTESXmVJBw,100,Positive
"Mooie referentie van Citrix XD/XA en #Nutanix binnen de zorg markt;
http://t.co/z358rzz7uU",84,Negative
time to deploy the first set of 500 #Horizon #View Desktops on #Nutanix,90,Positive
If your heading to # @VMUGSydney tomorrow at the intercon make sure you swing by #Nutanix and say hello. Rego here -&gt; http://t.co/kXRYOeMQU7,100,Positive
"Private,Hybrid of Public Cloud? #OnDynamiX, Interactie gegarandeerd 10 maart! #Nutanix #Microsoft http://t.co/j55G8cs6BG",23,Negative
Les antivirus tr http://t.co/BGjjGze8Lh  #avast #fortinet #fsecure #gdata #kaspersky #macafee #microsoft #oanda #sophos #symantec #trendmi,100,Positive
Les antivirus tr http://t.co/BGjjGze8Lh  #avast #fortinet #fsecure #gdata #kaspersky #macafee #microsoft #oanda #sophos #symantec #trendmi,9,Negative
"#Fortinet : Technology Sector In Focus: Latest Research on Aruba Networks, Ast... http://t.co/rUJS7DXdrr $FTNT",100,Excited
"#Fortinet : Technology Sector In Focus: Latest Research on Aruba Networks, Ast... http://t.co/rUJS7DXdrr $FTNT",100,Angry
"#Fortinet : Technology Sector In Focus: Latest Research on Aruba Networks, Ast... http://t.co/rUJS7DXdrr $FTNT",100,Positive
"#Fortinet : Technology Sector In Focus: Latest Research on Aruba Networks, Ast... http://t.co/rUJS7DXdrr $FTNT",98,Negative
"I don't know how #Fortinet does #WiFi but clearly this design needs help. CH1,5,6,7,9,10,11 no 5GHz @CorpDelta http://t.co/zkYrxJKjLS",100,Excited
"I don't know how #Fortinet does #WiFi but clearly this design needs help. CH1,5,6,7,9,10,11 no 5GHz @CorpDelta http://t.co/zkYrxJKjLS",100,Positive
@IEEEubc is here and we're about to start! #fortinet http://t.co/Ev4uc61Hnj,62,Excited
Fortianal http://t.co/AzXXequIc8  #fortianailzer #fortigate #fortinet #fribourg #hardware #hp #ibm #informatiquegk #security #server #serv,100,Negative
Conoce porque #Fortinet es recomendado por NSS LABS como #NGFW http://t.co/TFak0MRx9j,100,Negative
#Nutanix .Next 2015 Session - VDI Best Practices #NEXTConf // @dlink7 http://t.co/W9w1kr1vrJ,100,Excited
"#Nutanix anncouned support for Haswell CPU &amp; config to Order NX-3000
http://t.co/5DCGzMNfwq",100,Excited
ICYMI: #Nutanix NOS 4.1.1 â€“ The STIG Methodology http://t.co/ATFlaRY6rG #Hyperconverged,100,Excited
Hardware Platform Updates ? Haswell Refresh &amp; Configure to Order Support for #Nutanix NX-3000 Series http://t.co/u9CtGUAwLF  #hyperconverge,100,Excited
[Webinar] #Nutanix + @CumulusNetworks Deploying True #HyperConvergence with Open Networking http://t.co/Ciqc35U5hO,100,Excited
MT @nutanix: [Webinar] #Nutanix + @CumulusNetworks Deploying True HCI w/ Open Networking http://t.co/9uIoU4pIx5 &gt;Going to watch this one,100,Excited
#Nutanix Customer Success Month - celebrating customer wins throughout January http://t.co/roiogfcwdj,100,Excited
Want to learn more about #Nutanix: Visit us at #CeBIT15 #Hyperconverged #webscale @cebit http://t.co/TOywrXWt43,100,Excited
Upgrading my #Nutanix Hyper-V cluster to 4.1.1.2. Absolutely PAIN free!! http://t.co/wyNdSkQDW3,100,Excited
Is your #HyperV cluster updated?  Check out CAU for automatically updating with no downtime! (+#nutanix info too!)  http://t.co/j9TId4bVHP,100,Excited
3 Vectors of a Healthcare Cyberattack #CyberSecurity #Fortinet http://t.co/Aus25eMuTL,100,Excited
Ready to geek out? Call for Proposals - find the most interesting community-contributed session #NEXTConf #Nutanix http://t.co/L56ylkClIb,97,Excited
ICYMI: #Nutanix NOS 4.1.1 and the SecDL http://t.co/rlGIzdfnCf #Hyperconverged,100,Positive
#Nutanix #NoSAN Dutch DC heros ;) http://t.co/dQRgaZ7OQo,100,Positive
Delivering Secure and Scalable Desktop as a Service #Nutanix #vmwareview http://t.co/e80Kicsc3w,100,Positive
Delivering Secure and Scalable Desktop as a Service - http://t.co/eL4i4APmLh #Nutanix #VMware #DaaS http://t.co/DJsDcSuANk,100,Positive
#Nutanix .Next 2015 - Full agenda now available! Check it out  #NextConf #Webscale http://t.co/UqbFDaPyzl,100,Positive
Delivering Secure and Scalable Desktop as a Service  #Nutanix http://t.co/q43W0D4Yow #VMware #DaaS (via @dlink7),100,Positive
Secure DaaS with protection from the crazy neighbor  http://t.co/pGgR0JcbPe #VMware #HorizonAir #nutanix,100,Positive
The #Nutanix Bible - Updated with Data Locality whiteboard video - http://t.co/Q14M4HEOVO #SydneyVMUG,100,Positive
New #Meetup event: Managing storage in the #VirtualWorld http://t.co/GmXqi57Xq2 #NFV #IEEE #IEEEComsoc #Nutanix #EETimes #PernixData #Memory,100,Positive
"Secure &amp; Scalable DaaS #VMware &amp; #Nutanix provide the best solutions for service providers &amp; enterprise.
https://t.co/Xgf8XvPay1",100,Positive
ICYMI: #Nutanix NOS 4.1.1 and the SecDL http://t.co/rlGIzdfnCf #Hyperconverged,100,Excited
#Nutanix #NoSAN Dutch DC heros ;) http://t.co/dQRgaZ7OQo,100,Excited
Delivering Secure and Scalable Desktop as a Service #Nutanix #vmwareview http://t.co/e80Kicsc3w,97,Excited
Delivering Secure and Scalable Desktop as a Service #Nutanix #vmwareview http://t.co/e80Kicsc3w,100,Excited
Delivering Secure and Scalable Desktop as a Service - http://t.co/eL4i4APmLh #Nutanix #VMware #DaaS http://t.co/DJsDcSuANk,100,Positive
#Nutanix .Next 2015 - Full agenda now available! Check it out  #NextConf #Webscale http://t.co/UqbFDaPyzl,100,Negative
Secure DaaS with protection from the crazy neighbor  http://t.co/pGgR0JcbPe #VMware #HorizonAir #nutanix,85,Negative
The #Nutanix Bible - Updated with Data Locality whiteboard video - http://t.co/Q14M4HEOVO #SydneyVMUG,100,Angry
New #Meetup event: Managing storage in the #VirtualWorld http://t.co/GmXqi57Xq2 #NFV #IEEE #IEEEComsoc #Nutanix #EETimes #PernixData #Memory,100,Positive
Ready to geek out? Call for Proposals - find the most interesting community-contributed session #NEXTConf #Nutanix http://t.co/L56ylkClIb,83,Positive
Dont miss Accelerating Business Critical Applications &amp; VDI on #Nutanix session at #SydneyVMUG #NoSAN,100,Excited
"#SydneyVMUG 
#NoSAN 
#Nutanix",100,Excited
ICYMI: Mark Brunstad Education and Certification: #Nutanix NEXT Community Podcast EP6 http://t.co/7s1Usqc5SK,44,Excited
"So @vStewed thats #NoSAN for the win and #NoDisk for the bin!
#SydneyVMUG #Nutanix http://t.co/00d0sFpSeS",95,Angry
Join #Nutanix at #CeBIT15 March 16-20 2015 #Hyperconverged #Webscale @cebit http://t.co/oLE5lkfo2A,93,Positive
"#Citrix Validated Solution For #Nutanix: VDI Done Right
#Hyperconverged
https://t.co/qvpwZn1fbT",100,Excited
"#Citrix Validated Solution (CVS) for #Nutanix tested end2end delivers complete VDI #webscale #Hyperconverged
https://t.co/JDO47Y4cvy",93,Positive
My first #Nutanix partner expert session starts in a few minutes and it's about Metro Availability :),100,Excited
My first #Nutanix partner expert session starts in a few minutes and it's about Metro Availability :),62,Positive
My first #Nutanix partner expert session starts in a few minutes and it's about Metro Availability :),67,Negative
#Nutanix .Next 2015 Session - Nutanix Architecture - A Deep Dive #NEXTConf // @StevenPoitras http://t.co/QeUn5PoJTi,100,Angry
My first #Nutanix partner expert session starts in a few minutes and it's about Metro Availability :),65,Angry
#Nutanix Reference Architecture for Citrix #XenApp on #Hyper-V http://t.co/oDt1iaWUM0,55,Excited
#Nutanix Reference Architecture for Citrix #XenApp on #Hyper-V http://t.co/oDt1iaWUM0,51,Angry
#Nutanix Reference Architecture for Citrix #XenApp on #Hyper-V http://t.co/oDt1iaWUM0,60,Positive
#Nutanix Reference Architecture for Citrix #XenApp on #Hyper-V http://t.co/oDt1iaWUM0,59,Negative
#Nutanix .Next 2015 Session - Containers What They Mean for the Future of Application Deployment #NEXTConf http://t.co/RZhSc8PQNe,87,Angry
#Nutanix .Next 2015 Session - Containers What They Mean for the Future of Application Deployment #NEXTConf http://t.co/RZhSc8PQNe,100,Positive
#Nutanix .Next 2015 Session - Containers What They Mean for the Future of Application Deployment #NEXTConf http://t.co/RZhSc8PQNe,15,Angry
#Nutanix .Next 2015 Session - Containers What They Mean for the Future of Application Deployment #NEXTConf http://t.co/RZhSc8PQNe,93,Positive
#Nutanix .Next 2015 Session - Nutanix Architecture - A Deep Dive #NEXTConf // @StevenPoitras http://t.co/QeUn5PoJTi,65,Negative
#Nutanix .Next 2015 Session - Nutanix Architecture - A Deep Dive #NEXTConf // @StevenPoitras http://t.co/QeUn5PoJTi,100,Positive
#Nutanix .Next 2015 Session - Nutanix Architecture - A Deep Dive #NEXTConf // @StevenPoitras http://t.co/QeUn5PoJTi,97,Angry
#Nutanix .Next 2015 Session - Nutanix Architecture - A Deep Dive #NEXTConf // @StevenPoitras http://t.co/QeUn5PoJTi,80,Excited
"#Citrix Validated Solution (CVS) for #Nutanix tested end2end delivers complete VDI #webscale #Hyperconverged
https://t.co/JDO47Y4cvy",99,Excited
"#Citrix Validated Solution For #Nutanix: VDI Done Right
#Hyperconverged
https://t.co/qvpwZn1fbT",96,Excited
Join #Nutanix at #CeBIT15 March 16-20 2015 #Hyperconverged #Webscale @cebit http://t.co/oLE5lkfo2A,44,Angry
Join #Nutanix at #CeBIT15 March 16-20 2015 #Hyperconverged #Webscale @cebit http://t.co/oLE5lkfo2A,44,Positive
"@sakacc talking about the huge latency difference between DRAM, Server Flash &amp; flash in a SAN.
#Nutanix uses DRAM + Server flash
#SydneyVMUG",67,Angry
#Nutanix .Next 2015 Session - Containers What They Mean for the Future of Application Deployment #NEXTConf http://t.co/RZhSc8PQNe,60,Angry
"IT Social - Data scientist chez un fabricant de stockage des donnÃ©es http://t.co/1KOGfxBOAb #EMC #Nutanix #Simplivity @EMCFrance
@MTI_France",100,Negative
#Nutanix Plugin for XenDesktop now verified with #XenDesktop &amp; XenApp 7.6. Visit profile on #CitrixReady Marketplace http://t.co/t8nU3yOgLB,100,Positive
#nutanix Expert Session in Munich today. Partners from DACH learn about the latest product news and pitches http://t.co/KwMkHrBwiT,98,Excited
@KlausPeterat @teamsales1 @ReinhardFrie @PatrickWgl successfully tested #nutanix metro availibility in the lab... http://t.co/CarW7WQ5FO,100,Positive
"@awscloud , #Citrix, #Nutanix Up In Arms Over #VMware's Proposed $1.6 Billion #DoD Licensing Contract , #FEDRAMP
http://t.co/MxAMSLDEJ0",56,Excited
#Nutanix Reference Architecture for Citrix #XenApp on #Hyper-V http://t.co/98ZTELDVmu,100,Positive
"@awscloud , #Citrix, #Nutanix Up In Arms Over #VMware's Proposed $1.6 Billion #DoD Licensing Contract , #FEDRAMP
http://t.co/MxAMSLDEJ0",60,Angry
"@awscloud , #Citrix, #Nutanix Up In Arms Over #VMware's Proposed $1.6 Billion #DoD Licensing Contract , #FEDRAMP
http://t.co/MxAMSLDEJ0",67,Positive
Report: Nutanix working on a standalone implementation of its Server SAN software http://t.co/rxYmOy5MuC #Nutanix #SAN #Server,95,Negative
"@awscloud , #Citrix, #Nutanix Up In Arms Over #VMware's Proposed $1.6 Billion #DoD Licensing Contract , #FEDRAMP
http://t.co/MxAMSLDEJ0",56,Negative
"@awscloud , #Citrix, #Nutanix Up In Arms Over #VMware's Proposed $1.6 Billion #DoD Licensing Contract , #FEDRAMP
http://t.co/MxAMSLDEJ0",100,Excited
"@awscloud , #Citrix, #Nutanix Up In Arms Over #VMware's Proposed $1.6 Billion #DoD Licensing Contract , #FEDRAMP
http://t.co/MxAMSLDEJ0",100,Angry
"@awscloud , #Citrix, #Nutanix Up In Arms Over #VMware's Proposed $1.6 Billion #DoD Licensing Contract , #FEDRAMP
http://t.co/MxAMSLDEJ0",100,Positive
"@awscloud , #Citrix, #Nutanix Up In Arms Over #VMware's Proposed $1.6 Billion #DoD Licensing Contract , #FEDRAMP
http://t.co/MxAMSLDEJ0",100,Negative
"@awscloud , #Citrix, #Nutanix Up In Arms Over #VMware's Proposed $1.6 Billion #DoD Licensing Contract , #FEDRAMP
http://t.co/MxAMSLDEJ0",51,Excited
"@awscloud , #Citrix, #Nutanix Up In Arms Over #VMware's Proposed $1.6 Billion #DoD Licensing Contract , #FEDRAMP
http://t.co/MxAMSLDEJ0",100,Excited
"@awscloud , #Citrix, #Nutanix Up In Arms Over #VMware's Proposed $1.6 Billion #DoD Licensing Contract , #FEDRAMP
http://t.co/MxAMSLDEJ0",49,Angry
"@awscloud , #Citrix, #Nutanix Up In Arms Over #VMware's Proposed $1.6 Billion #DoD Licensing Contract , #FEDRAMP
http://t.co/MxAMSLDEJ0",15,Angry
"@awscloud , #Citrix, #Nutanix Up In Arms Over #VMware's Proposed $1.6 Billion #DoD Licensing Contract , #FEDRAMP
http://t.co/MxAMSLDEJ0",0,Positive
"@awscloud , #Citrix, #Nutanix Up In Arms Over #VMware's Proposed $1.6 Billion #DoD Licensing Contract , #FEDRAMP
http://t.co/MxAMSLDEJ0",56,Positive
